experiment,participant,chars,error
bahrami2020four/exp.csv,51,5692,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.50 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,54,5470,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 14.75 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,63,5729,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.50 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,84,5692,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.50 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,89,5803,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.75 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,92,5803,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.75 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,96,5692,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.50 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,101,5840,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.75 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,107,5765,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.75 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,126,5655,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.25 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,136,5803,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.75 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,153,5655,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.25 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,156,5803,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.75 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,161,5692,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.50 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,165,5803,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.75 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,173,5803,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.75 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,179,5803,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.75 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,183,3620,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 9.75 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
bahrami2020four/exp.csv,185,5840,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.75 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,187,1067,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 2.75 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
bahrami2020four/exp.csv,190,5766,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.75 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,202,5469,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 14.75 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,209,5581,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.25 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,217,5729,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.50 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,223,5803,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.75 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,231,5618,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.25 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,234,5506,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.00 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,237,5729,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.50 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,246,5766,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.75 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,258,5766,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.75 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,276,5396,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 14.50 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,283,5507,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.00 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,292,5692,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.50 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,308,5692,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.50 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,312,5692,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.50 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,317,4952,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 13.50 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,319,4767,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 13.00 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,325,5803,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.75 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,333,5765,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.75 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,348,5763,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.75 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,350,5762,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.75 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,356,5765,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.75 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
bahrami2020four/exp.csv,360,5618,"MPS backend out of memory (MPS allocated: 15.00 GiB, other allocations: 26.46 GiB, max allowed: 30.19 GiB). Tried to allocate 15.25 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disa"
