experiment,participant,chars,error
cox2017information/exp1.csv,215,19580,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 47.50 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
cox2017information/exp1.csv,240,20286,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 49.25 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
cox2017information/exp1.csv,242,16755,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 40.75 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
cox2017information/exp1.csv,261,20169,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 49.25 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
cox2017information/exp1.csv,280,20360,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 49.75 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
cox2017information/exp1.csv,290,19994,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 48.50 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
cox2017information/exp1.csv,292,20004,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 48.50 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
cox2017information/exp1.csv,321,20555,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 49.75 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
cox2017information/exp1.csv,326,20125,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 49.25 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
cox2017information/exp1.csv,328,20529,"MPS backend out of memory (MPS allocated: 1.02 GiB, other allocations: 32.18 GiB, max allowed: 30.19 GiB). Tried to allocate 50.25 KiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disab"
